p1_xyzE,pmup_xyzE,pmum_xyzE,p3_xyzE
"[-1.6039163655973043, 1.0434327963583543, 6.164991827612102, 6.522942456350129]","[0.6065316645497119, -0.9920367299872611, 1.5202705268871757, 1.9168733973925018]","[1.5755850576568093, 0.6672946932593216, 12.225354865060158, 12.344967220336292]","[-0.5782003566092198, -0.7186907596304144, 9.120802409077662, 9.215216925921062]"
"[1.8743271955377376, -0.018426365380048007, 6.101795780870452, 6.451798823917709]","[-2.540262464326244, -0.7095907828409527, 9.19143905025356, 9.562958114215903]","[0.10556237588721093, 1.3182162109938258, 5.748993389973522, 5.900078474482617]","[0.5603728929012942, -0.5901990627728252, 7.989191407539558, 8.085164587383758]"
"[-1.2324895624280323, -1.2921096183847642, 3.600603663467063, 4.1271393088643]","[-1.3116397388261232, 0.6092413785537462, 5.975473438703609, 6.148903991072414]","[1.765310838249931, 0.9189483013021693, 11.255794394891922, 11.430873081665863]","[0.7788184630042214, -0.23608006147116056, 8.199548131574431, 8.293083618397333]"
"[0.503157806266599, -0.38130637232050846, 5.510422916606754, 5.6252713173168924]","[-2.060343620053712, -0.7515817485194071, 3.1312936282195, 3.8244024835908115]","[0.07445713463623241, -0.013160289470654424, 6.68854439494602, 6.689806185103199]","[1.482728679150887, 1.1460484103105726, 13.701158688864828, 13.860520013989088]"
"[1.7715977936676943, 0.6119867233089734, 4.337551157524857, 4.817446510565935]","[-1.187177374596561, 1.2987011916668214, 5.197733930266056, 5.488498567622463]","[-0.8758708330540603, -1.2012597762648016, 13.065207382515146, 13.149942293689309]","[0.29145041398291727, -0.7094281387109922, 6.4309271583311665, 6.544112628122404]"
"[-0.9225752148280909, 1.6496637948716624, 12.288004305098333, 12.46787631520399]","[0.9683313909029498, -2.900111308172724, 8.271443823689065, 8.819084863170746]","[-0.436175709960422, 0.5151337423450876, 4.3848731730785, 4.437779667740326]","[0.3904195338855637, 0.7353137709559715, 4.087098326771207, 4.275259153884932]"
"[-1.3433610220400074, 1.0700017113498703, 9.011686996268773, 9.221734075678594]","[3.001742414219846, -1.540995166205522, 12.04583914700491, 12.509937169789268]","[-0.5461814248933599, 0.44536617708021026, 3.154506770654565, 3.233997798338006]","[-1.1121999672864784, 0.02562727777544116, 4.81938671470887, 5.034330956194136]"
"[1.8656620904663572, 0.08915936047474, 3.8054267561763044, 4.341689944016047]","[0.5806483431585476, 0.7299528855553155, 12.73493162566121, 12.769480445060143]","[-1.3081934129034778, -0.9853234447440806, 5.391139966274822, 5.6354046922342755]","[-1.138117020721412, 0.1662111987140305, 7.099921280524826, 7.253424918689585]"
"[-0.6113103895754374, -0.16083246541085108, 13.062841309771596, 13.111740727477503]","[-0.20938450435976447, 0.11011219565403053, 7.80876999843279, 7.813067199742093]","[1.9371380055690324, -0.9756862680761551, 4.058493509110014, 4.60293390380358]","[-1.1164431116338247, 1.026406537832973, 4.101314811322718, 4.472258168976829]"
"[-0.6105284523111753, 0.17309332883812975, 8.14316235890766, 8.22156638610212]","[1.4675746633277595, -1.0812176183205375, 6.012159621462015, 6.283313923202517]","[-1.1094187932921875, -0.5509410335360585, 12.395244695661864, 12.457431547459581]","[0.2523725822756041, 1.459065323018461, 2.4808529526055443, 3.0376881432357505]"
"[-0.3895891201136477, -0.5535528881518698, 4.427177420839418, 4.575855629722879]","[-1.767604613550437, 0.5749948148565567, 5.243310441638188, 5.5640374825582155]","[1.2183144272272766, 1.003656360585071, 2.8124921454158285, 3.226901271300801]","[0.9388793064368098, -1.025098287289762, 16.548439620743668, 16.6332056164181]"
"[0.595344382401394, 0.8822196373119626, 12.786123585129394, 12.864604817183539]","[0.32462573359809693, -2.8095917956808436, 9.753365206104286, 10.155711909161312]","[0.01442728318077291, 0.8023334087997241, 1.7107851861121806, 1.8925899216050608]","[-0.9343973991802635, 1.125038749569154, 4.781145651291251, 5.087093352050088]"
"[-0.9660499456262336, 0.12668404425518123, 7.750082821218459, 7.867238360838113]","[-0.16812635298978224, 0.8829728027327264, 1.3076845933734011, 1.590317593955838]","[2.7686905609954042, -0.3613368007197931, 12.402408408260824, 12.713265105564433]","[-1.6345142623793907, -0.648320046268115, 7.571243805784398, 7.8291789396415865]"
"[-1.5202185147098026, 1.192730181948068, 8.24063048047068, 8.51598583142567]","[0.6191866254064069, -1.8421194082940224, 17.617056244694453, 17.724238497977495]","[0.9392071640831752, 0.3588889913132688, 1.8846240249974031, 2.138663772946188]","[-0.038175274779769924, 0.2905002350326763, 1.2891088784746474, 1.621111897650719]"
"[0.6074591215110472, 0.2333352629506267, 3.8565557526401895, 4.022042832746731]","[0.5734988215936662, -2.0721816544964344, 10.64414106236327, 10.859638128227514]","[-1.6344758772088703, 0.10483202093739274, 10.286261152620419, 10.416373325618833]","[0.4535179341041564, 1.734014370608414, 4.244461661013299, 4.701945713406989]"
"[1.1724005036198588, 0.10789021491569059, 1.831122723703297, 2.370554368625455]","[0.7129128194851702, -1.3086220169479381, 6.802707678036065, 6.96482100539576]","[-1.7168979162628648, 0.6223598231624516, 7.53781647927129, 7.756604353226506]","[-0.1684154068421555, 0.5783719788698019, 12.859772747626444, 12.90802027275226]"
"[-1.332291815840063, 0.5521527276432554, 8.713899837463309, 8.882132561526278]","[-0.21469063250828674, -1.086333804832547, 4.054347653945547, 4.204177888152039]","[2.8827283365782517, 0.7649198258477148, 9.86429250644185, 10.30585538750156]","[-1.3357458882299094, -0.23073874865842237, 6.398879630786392, 6.60783416282011]"
"[1.2443299621312576, -1.7728459011096043, 7.568982188594861, 7.928504610643102]","[0.04983087675365977, -0.6865974742322865, 6.643593278062014, 6.679999585716676]","[-0.5795327466637208, 2.8204299683193264, 11.345441499779, 11.705592246807544]","[-0.7146280922212016, -0.36098659297741553, 3.4734026622012806, 3.685903556832721]"
"[-1.062407045549727, -0.7524823924560093, 16.623076291409003, 16.700358026622606]","[0.12875118941911629, 0.06341909057148673, -0.2852678345417202, 0.33636319687782956]","[1.4440756476914196, 0.5307154058401471, 7.96950130071523, 8.11733502532187]","[-0.5104197915608071, 0.15834789604437632, 4.724109871054596, 4.845943751177694]"
"[0.5007492275439109, -0.24284351211900437, 1.9060815456368383, 2.196183955151624]","[0.2501254485370832, 2.693284175267824, 12.18629902268325, 12.483324471949318]","[0.4924246512635699, -0.7607892296346577, 2.302310679756017, 2.476505676993849]","[-1.2432993273445687, -1.6896514335141748, 12.63672838056095, 12.843985895905153]"
"[0.26345972171247717, 0.19707907638433983, 10.287009658403246, 10.33494911672907]","[0.5746654608610309, 1.2381416132447551, 15.907915888707791, 15.966721222014264]","[0.3089688735877237, -0.5460025245908879, 0.6274370862094875, 0.8935443088178339]","[-1.1470940561612202, -0.8892181650381978, 2.209056995316594, 2.8047853524388406]"
"[1.082003586809577, -1.8981999483924072, 12.86837900709617, 13.086230451211042]","[0.5673746298425822, -0.6099008329785649, 7.523540937011771, 7.570252627258412]","[-1.5370375258280238, 1.3494098457493735, 5.410158005366532, 5.784839197730948]","[-0.11234069082414716, 1.1586909356216073, 3.2293416791626486, 3.558677723799607]"
"[-0.21236933640380712, 0.8660678153478826, 3.9950159984215032, 4.199485845845155]","[1.2822829556155018, -0.2875535742708095, 9.686304721662129, 9.77561248261182]","[0.3625145870343356, 0.8600774573946756, 0.6188442659912827, 1.1248474994617945]","[-1.4324282062460312, -1.438591698471749, 14.731254642562199, 14.900054172081234]"
"[-0.3451789340474058, -0.3581599053075724, 5.024343732335925, 5.135349189775446]","[0.6339805177384831, -1.068204757435018, 0.7208132083872736, 1.440044442032368]","[-0.8026766844937997, 0.3945178502373695, 5.203498031986632, 5.280860685138231]","[0.5138751008027229, 1.0318468125052236, 18.082764655927274, 18.14374568305395]"
"[0.7626968797851178, -2.0283360288295285, 10.806173942171078, 11.061175488650521]","[-1.13080533853319, 2.9922244918611463, 9.873716394617134, 10.379478174631132]","[0.5755232840358343, -0.4371914112980741, 4.330907244247851, 4.392070645131144]","[-0.2074148252877638, -0.5266970517335374, 4.020622047601046, 4.167275691587202]"
"[-1.0501345429590367, 0.10966008702231334, 7.560818122151294, 7.691627455567316]","[0.12998289448049827, 0.38786955412059976, 7.644241663697571, 7.655908343876973]","[2.487484641650119, -1.0364755347060042, 5.69841326686862, 6.304358710406445]","[-1.5673329931715836, 0.5389458935630919, 8.127946575919598, 8.348105490149237]"
"[-0.6581651706434004, -1.0786077672475318, 3.8540492372705923, 4.16300684322099]","[0.3048234227485517, 0.9903548198801151, 1.0778626690035575, 1.4988901008784437]","[0.6248349195737751, -1.3806670540185133, 8.062905222418774, 8.204770833450674]","[-0.27149317167891607, 1.4689200013859256, 16.03660249994418, 16.133332222449887]"
"[-1.0129332698498295, -1.0424916784369247, 16.67523878602656, 16.76474770540158]","[1.6588563325057177, -0.00938557913129634, 9.418514103515346, 9.564071515420167]","[-0.05626318531817237, 0.8757105944210446, 0.5717535464322645, 1.052663441953448]","[-0.5896598773377161, 0.17616666314717602, 2.365913192662929, 2.618517337224796]"
"[0.6501864595253468, 1.6211834613940153, 7.4798810650317336, 7.738213833996308]","[1.1491328553356905, -0.8703504990443527, 3.2606578668820605, 3.5666608541074636]","[-0.5060107623652015, -0.5677278894233528, 15.12208282665993, 15.141562484677255]","[-1.29330855249584, -0.18310507292630024, 3.168797870063359, 3.5535628272189452]"
"[-0.6675175872576109, 1.0921256758659597, 6.3902368761087605, 6.584360249860889]","[0.21884031389380856, -1.3420889589167446, 3.9553450257234886, 4.18389910754441]","[2.0678326814428147, 1.1223621759393139, 12.197845245003947, 12.423132498949354]","[-1.6191554080790005, -0.8723988928885298, 6.48799248180097, 6.808608143645403]"
"[-0.14393228725296775, 0.7751632266462877, 2.0808364788938727, 2.4149180791774287]","[-1.0608999331583358, -0.8085927422427244, 2.8588458712337936, 3.156500311962204]","[-0.6235286397789185, 0.16201397917714633, 17.727937269781517, 17.739953775259558]","[1.8283608601902335, -0.12858446358070558, 6.363800008727934, 6.688627833600815]"
"[-1.8009035255839936, -0.24065552528673798, 7.683917317491, 7.95135889507787]","[1.762724865539635, 0.2825300963059858, 12.769160507444656, 12.89378322622025]","[-0.9722545409731621, 1.0267568996318608, 4.527155390172107, 4.744028684895668]","[1.0104332010175334, -1.0686314706510869, 4.051186413529402, 4.4108291938062685]"
"[-0.03976280425287007, 1.4410016965939296, 10.768605723076233, 10.905103875490724]","[1.6654532117044367, -2.461042821599919, 11.377269939154099, 11.759417547288159]","[-0.19840099119160198, 0.7684976956889527, 2.0371066360490517, 2.188816739972565]","[-1.4272894162599679, 0.25154342931704016, 4.848437330357716, 5.146661837248543]"
"[0.2220668700884498, 0.9986440518114844, 15.034551375029057, 15.0984996947174]","[1.0774935820508937, -2.181666351420564, 7.19778130728233, 7.59867619054191]","[0.014232345299034832, 1.0350951830946589, 2.8424433212995135, 3.0269245523274426]","[-1.3137927974383872, 0.14792711651443, 3.9566436250262016, 4.2758995624132385]"
"[-1.3436788576237744, -1.0548527662180418, 15.628050366761254, 15.74911108103672]","[0.4372840993289776, 0.01164303823961405, -0.06969977415637611, 0.4553840306234438]","[0.9930337368459939, -0.021730854582497666, 9.894255720677211, 9.944548663045143]","[-0.08663897855119268, 1.0649405825609253, 3.578813315355025, 3.850956225294701]"
"[0.263301236764416, -0.4298827421538299, 7.8693982125854625, 7.941152894102382]","[-0.3832253360608451, -0.7634392506415111, 3.1314455760374105, 3.2475862045936967]","[-0.6382051521895162, 3.0601186779961216, 11.169412291676535, 11.599076113817032]","[0.7581292514859455, -1.8667966852007811, 6.861163548337695, 7.212184787486878]"
"[-1.062033305470082, -0.09899804895685986, 5.893817428482182, 6.062602871860343]","[-0.6832092261638947, 0.36680243856383077, 2.843175242726705, 2.948919793665114]","[3.3184948743881804, 0.2926206954183145, 10.79550860738379, 11.298327522593297]","[-1.5732523427542155, -0.5604250850252881, 9.498918350044402, 9.690149811881213]"
"[-1.8409880579168494, -1.593701793027863, 10.37946411468594, 10.70246476698381]","[0.7200943611283581, -1.0309249446389563, 3.225545656126957, 3.4636181260541963]","[0.16812809526203132, 1.7813032319496291, 10.727220239364074, 10.875924141761788]","[0.9527656015264485, 0.8433235057171805, 4.699189618460094, 4.957992965200162]"
"[-1.4887296956419696, 0.23753660248435365, 6.132845543452651, 6.384738722143381]","[0.41499485145009296, -1.6400668944962988, 7.827472609084247, 8.008903246018205]","[0.38580004300421294, 0.6696812022699673, 0.4106005622370998, 0.8815163189239459]","[0.6879348011876641, 0.7328490897419773, 14.660500913863114, 14.72484171291447]"
"[-1.4187667208553392, 0.24615208459961874, 8.581778270125413, 8.75218615435824]","[2.6880367612042395, -0.23814222083225708, 7.797268761763698, 8.251716009598749]","[-0.7040108218827686, 0.3615781224565629, 0.9686244520824107, 1.2552955501009375]","[-0.5652592184661346, -0.3695879862239248, 11.683748144665586, 11.74080228594207]"
"[-0.3501919131970356, -0.2902307751591644, 19.538436168117915, 19.566239048946535]","[-1.094445975823853, 0.5889850222581289, 1.3793369708157586, 1.8596906846205976]","[1.101909007118262, -0.14665014536827556, 6.922983412184705, 7.0124583894275965]","[0.3427288819026262, -0.1521041017307061, 1.1906630775187246, 1.5616118770052605]"
"[0.560759293698271, -1.2063478138094361, 3.760359520371626, 4.097607119012913]","[1.6923356881907246, -0.28487990395755175, 8.552618868133624, 8.723738290304341]","[-1.3884691052426854, -0.5793055187189642, 6.984467520470622, 7.145445507293768]","[-0.8646258766463095, 2.0705332364859506, 9.73397371966122, 10.033209083388954]"
"[-0.635490881147921, -0.8133310614124959, 3.4657034703207437, 3.7358815513420365]","[1.4218671119135167, -0.21950786234859065, 10.730325253421656, 10.82686166175391]","[0.4933074216926374, 2.0604212563370843, 5.161978231020922, 5.5808485767274325]","[-1.2796836524582205, -1.0275823325759852, 9.673412673873859, 9.856408210176692]"
"[0.3724687422033543, -0.32406060428522077, 2.1615550411252036, 2.4075761215309535]","[0.22868496732298044, -0.8436070188542625, 7.328710383125969, 7.38140427759123]","[-0.988021187837717, 2.490193057277047, 16.72418506944935, 16.937732350591787]","[0.3868674783113731, -1.3225254341375448, 2.816969134936592, 3.2732872502860344]"
"[-0.771666448485056, 0.9856625904767118, 2.5901445594725345, 3.0259218487812882]","[-1.6277567024852615, -1.0606568370510148, 14.908033212255901, 15.034467156476074]","[1.376947564077922, -0.3811820867577749, 7.805146001176191, 7.935537290576223]","[1.0224755868923945, 0.4561763333320752, 3.728095855732521, 4.004073704166451]"
"[1.77637732196767, -0.3053602288262735, 5.759779966731944, 6.107714864865623]","[-0.9823910240125644, 1.2098522550954727, 3.8694418972443865, 4.1728382202446195]","[1.1346655029884198, -0.40537592116191357, 9.414075930853016, 9.49145851204966]","[-1.928651800943529, -0.4991161051073036, 9.988121833807725, 10.227988402840062]"
"[0.5687742693628256, 0.3203300936223315, 2.214076504779811, 2.4917071764899035]","[-2.5967014203510193, -0.5355798330597995, 21.018775963936033, 21.185603854012108]","[0.5110921178602359, -0.35042150537280314, 1.129543461511669, 1.2926880632133813]","[1.5168350331279752, 0.5656712448102788, 4.669023698409538, 5.030000906284554]"
"[1.5666515644327248, -1.524816462820715, 6.364933935635081, 6.7950129301283635]","[-1.960195997674935, 1.428359595325805, 18.950109118860198, 19.104983085900198]","[0.5067897428382664, -0.40616607929718224, 1.2952588068023427, 1.452813035796673]","[-0.11324530959605511, 0.5026229467920913, 2.421117767339482, 2.64719094817476]"
"[-0.41288108973673254, 1.5852002208308833, 3.0222860248179746, 3.5634109636945484]","[1.034427964661767, 0.5332657602827696, 3.748867747826671, 3.9267781435705365]","[-1.349412495305288, -1.3409761160288327, 11.593156916999822, 11.748684264265112]","[0.7278656203802495, -0.7774898650848311, 10.667108938992643, 10.761126628469805]"
